Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
AANTPVLME;Aantal per volume;FYT_bloei4;Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg;NVT;n/ml;cel;OW;M20;;GEM;2000-01-01;;;;;>300000;;;;
AANTPVLME;Aantal per volume;FYT_bloei4;Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg;NVT;n/ml;cel;OW;M23;;GEM;2000-01-01;;;;;>300000;;;;
AANTPVLME;Aantal per volume;FYT_bloei4;Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg;NVT;n/ml;cel;OW;M27;;GEM;2000-01-01;;;;;>300000;;;;
AANTPVLME;Aantal per volume;FYT_bloei4;Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg;NVT;n/ml;cel;OW;M30;;GEM;2000-01-01;;;;;>300000;;;;
AANTPVLME;Aantal per volume;FYT_bloei5;Fytopl. - bloeisoort (05) Thalassiosira pseudonana;NVT;n/ml;cel;OW;M30;;GEM;2000-01-01;;;;;>30000;;;;
AANTPVLME;Aantal per volume;FYT_bloei6;Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;NVT;n/ml;cel;OW;M3;;GEM;2000-01-01;;;;;>30000;;;;
AANTPVLME;Aantal per volume;FYT_bloei6;Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;NVT;n/ml;cel;OW;M4;;GEM;2000-01-01;;;;;>30000;;;;
AANTPVLME;Aantal per volume;FYT_bloei6;Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;NVT;n/ml;cel;OW;M6a;;GEM;2000-01-01;;;;;>30000;;;;
AANTPVLME;Aantal per volume;FYT_bloei6;Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;NVT;n/ml;cel;OW;M6b;;GEM;2000-01-01;;;;;>30000;;;;
AANTPVLME;Aantal per volume;FYT_bloei6;Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;NVT;n/ml;cel;OW;M7a;;GEM;2000-01-01;;;;;>30000;;;;
