"ID_classificatie","bron","klasse","ondergrens","bovengrens","incl_onder","incl_boven"
"100100676","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100676","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100677","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100677","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100677","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100677","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100677","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100678","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100678","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100678","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100678","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100678","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100679","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100679","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100679","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100679","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100679","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100680","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100680","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100680","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100680","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100680","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100681","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100681","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100681","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100681","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100681","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100682","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100682","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100682","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
